region,year,category,avg_value
East Coast,2017,dairy,4.636611111111112
East Coast,2017,fruits,3.116226851851852
East Coast,2017,veggies,3.5205833333333336
East Coast,2018,dairy,4.619347222222222
East Coast,2018,fruits,3.137638888888889
East Coast,2018,veggies,3.8149791666666664
East Coast,2019,dairy,4.666458333333333
East Coast,2019,fruits,3.3023148148148147
East Coast,2019,veggies,4.079125
East Coast,2020,dairy,4.786847222222223
East Coast,2020,fruits,3.525555555555556
East Coast,2020,veggies,4.25425
East Coast,2021,dairy,5.069645833333333
East Coast,2021,fruits,3.643472222222222
East Coast,2021,veggies,4.098958333333334
East Coast,2022,dairy,5.739020833333333
East Coast,2022,fruits,3.9651620370370364
East Coast,2022,veggies,4.444916666666667
East Coast,2023,dairy,6.114118055555556
East Coast,2023,fruits,4.203055555555555
East Coast,2023,veggies,4.7642291666666665
East Coast,2024,dairy,6.186635416666666
East Coast,2024,fruits,4.164826388888889
East Coast,2024,veggies,4.735625
Interior,2017,dairy,4.239944444444444
Interior,2017,fruits,2.7810925925925924
Interior,2017,veggies,2.9474666666666662
Interior,2018,dairy,4.261777777777778
Interior,2018,fruits,2.774388888888889
Interior,2018,veggies,3.144
Interior,2019,dairy,4.31025
Interior,2019,fruits,2.9220925925925925
Interior,2019,veggies,3.6511666666666662
Interior,2020,dairy,4.439111111111112
Interior,2020,fruits,3.0120185185185187
Interior,2020,veggies,3.709883333333333
Interior,2021,dairy,4.648444444444444
Interior,2021,fruits,3.1418888888888885
Interior,2021,veggies,3.5511333333333335
Interior,2022,dairy,5.265888888888889
Interior,2022,fruits,3.5623148148148145
Interior,2022,veggies,3.9524166666666667
Interior,2023,dairy,5.692722222222223
Interior,2023,fruits,3.725092592592593
Interior,2023,veggies,4.265183333333333
Interior,2024,dairy,5.740375
Interior,2024,fruits,3.5962222222222224
Interior,2024,veggies,4.2223500000000005
West Coast,2017,dairy,4.226805555555556
West Coast,2017,fruits,2.928148148148148
West Coast,2017,veggies,2.99925
West Coast,2018,dairy,4.250555555555556
West Coast,2018,fruits,2.9387962962962964
West Coast,2018,veggies,3.2085833333333333
West Coast,2019,dairy,4.262638888888889
West Coast,2019,fruits,3.0707407407407405
West Coast,2019,veggies,3.6931666666666665
West Coast,2020,dairy,4.403194444444444
West Coast,2020,fruits,3.1012962962962964
West Coast,2020,veggies,3.757833333333333
West Coast,2021,dairy,4.603611111111111
West Coast,2021,fruits,3.299074074074074
West Coast,2021,veggies,3.670416666666666
West Coast,2022,dairy,5.296666666666667
West Coast,2022,fruits,3.761851851851852
West Coast,2022,veggies,4.132916666666667
West Coast,2023,dairy,5.736527777777778
West Coast,2023,fruits,3.948518518518519
West Coast,2023,veggies,4.52625
West Coast,2024,dairy,5.747708333333333
West Coast,2024,fruits,3.85375
West Coast,2024,veggies,4.44475
